BT 811,Kopenhaagen,Air Baltic Corporation,N/A,15:50,2024-08-01
BT 314,Riia,Air Baltic Corporation,N/A,15:38,2024-08-01
FR 736,Viin,Ryanair,16:20,N/A,2024-08-01
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),16:35,N/A,2024-08-01
AY 1022,Helsingi,Finnair,N/A,N/A,2024-08-01
OJ 225,Kärdla,Nyxair,17:00,N/A,2024-08-01
AY 1024,Helsingi,Finnair,17:20,N/A,2024-08-01
FR 4645,Stockholm (Arlanda),Ryanair,18:15,N/A,2024-08-01
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:30,N/A,2024-08-01
OJ 207,Kuressaare,Nyxair,18:30,N/A,2024-08-01
LH 2405,München,Deutsche Lufthansa,N/A,N/A,2024-08-01
BT 906,Vilnius,Air Baltic Corporation,19:45,N/A,2024-08-01
TO 7409,Pariis (Orly),Transavia France,19:55,N/A,2024-08-01
AY 1028,Helsingi,Finnair,20:00,N/A,2024-08-01
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2024-08-01
AY 1032,Helsingi,Finnair,22:20,N/A,2024-08-01
FR 9914,Barcelona,Ryanair,22:25,N/A,2024-08-01
